ES-005 - LOS CARBONALES
Sistematización de Hatos
Software GANADERO SG - Reportes Personalizados
Número = Número del Animal              Nombre = Nombre              E.Mes = Edad en meses              E. Años = Edad en años              Edad Año - Mes = Edad Año - Mes - día
EA = Estado actual              DPar = Días Parida              #C = Total Crías              #P = Total Partos              # Abortos = Total Abortos
D.Ab = Días abiertos              F. P. P = Fecha próximo parto              UIEP = Último intervalo entre partos              DEL = Días lactando
Actualizado a: 05/01/26 Impresión: 03/02/26 10:24:31 AM
Hojas incluidas: 37468478
Hoja;No.;Número;Nombre;E.Mes;E. Años;Edad Año - Mes;EA;DPar;#C;#P;# Abortos;F.Últ.Par;Gest.;F. Preñ;Estado reprod.;TPreñez;D.Ab;F. P. P;UIEP
37468478;167;011594484;7-12-107;31.3;2.6;02a 07m 05d;NV;0;0;0;0;  -   -;0;-   -;Vacía;;153;-   -;0
37468478;168;012210652;00390632;29.3;2.4;02a 05m 08d;NV;0;0;0;0;  -   -;0;-   -;Vacía;;55;-   -;0
37468478;169;012210653;00194454;29.2;2.4;02a 05m 03d;NV;0;0;0;0;  -   -;0;-   -;Vacía;;55;-   -;0
37468478;170;012210678;00394932;77.4;6.5;06a 05m 10d;VP;74;3;3;0;2025-11-21 00:00:00;0;-   -;Vacía;;74;-   -;1901-08-02
37468478;171;012210684;7-12-048;97.5;8.1;08a 01m 14d;VP;50;5;5;1;2025-12-15 00:00:00;0;-   -;Vacía;;50;-   -;1901-01-14
37468478;172;012210685;00390618;110;9.2;09a 01m 28d;VP;167;6;6;0;2025-08-20 00:00:00;0;2025-09-30;Preñada;MN;167;2026-07-02;1900-12-17
37468478;173;012210688;00390627;108;9.1;09a 00m 17d;VP;438;3;3;0;2024-11-22 00:00:00;0;-   -;Vacía;;438;-   -;1901-08-30
37468478;174;012210689;7-12-023;97.9;8.2;08a 01m 25d;VP;465;3;3;0;2024-10-26 00:00:00;0;-   -;Vacía;;465;-   -;1901-05-06
37468478;175;012210693;00339062;111;9.3;09a 03m 12d;VP;73;5;5;0;2025-11-22 00:00:00;0;-   -;Vacía;;73;-   -;1901-03-29
37468478;176;012210695;00197524;109;9.1;09a 01m 03d;VS;0;5;5;0;2024-12-15 00:00:00;0;2025-06-30;Preñada;MN;415;2026-04-05;1901-01-08
37468478;177;012210698;00430138;77.4;6.5;06a 05m 10d;VP;450;3;3;0;2024-11-10 00:00:00;0;2025-10-25;IATF;MN;450;2026-07-30;1901-05-18
37468478;178;012210699;00390618;110;9.2;09a 01m 28d;VP;161;5;5;0;2025-08-26 00:00:00;0;2025-10-25;Preñada;MN;161;2026-07-30;1901-08-13
37468478;179;012210700;00339069;110;9.2;09a 02m 03d;VP;183;4;4;1;2025-08-04 00:00:00;0;-   -;Vacía;;183;-   -;1901-06-16
37468478;180;012212353;8-11-046;27.2;2.3;02a 03m 05d;NV;0;0;0;0;  -   -;0;-   -;Vacía;;55;-   -;0
37468478;181;012212382;00390670;26.9;2.2;02a 02m 24d;NV;0;0;0;0;  -   -;0;-   -;Vacía;;55;-   -;0
37468478;182;012212387;00390619;110;9.2;09a 01m 28d;VP;210;4;4;0;2025-07-08 00:00:00;0;-   -;Vacía;;210;-   -;1901-06-05
37468478;183;012212398;00173822;134;11.2;11a 01m 28d;VP;578;5;5;0;2024-07-05 00:00:00;245;2025-06-03;Preñada;MN;333;2026-03-18;1900-12-28
37468478;184;012212399;00390620;109;9.1;09a 01m 21d;VP;202;4;4;0;2025-07-16 00:00:00;0;2025-10-30;Preñada;;202;2026-07-29;1901-08-06
37468478;185;012217563;00339065;110;9.2;09a 02m 22d;VP;242;6;6;0;2025-06-06 00:00:00;0;-   -;Vacía;;242;-   -;1901-06-05
37468478;186;012217564;00339067;110;9.2;09a 02m 16d;VP;159;6;6;0;2025-08-28 00:00:00;0;2025-06-30;Preñada;MN;159;2026-03-30;1901-01-14
37468478;187;012217576;00390618;110;9.2;09a 01m 28d;VP;214;4;4;0;2025-07-04 00:00:00;0;-   -;Vacía;;214;-   -;1901-06-14
37468478;188;012217577;00390664;109;9.1;09a 01m 03d;VP;35;4;4;0;2025-12-30 00:00:00;0;-   -;Vacía;;35;-   -;1901-02-19
37468478;189;012217578;00388885;104;8.7;08a 08m 24d;VP;429;4;4;0;2024-12-01 00:00:00;0;2025-06-30;Preñada;MN;429;2026-04-30;1901-01-13
37468478;190;012846678;1-05-001;57;4.8;04a 08m 28d;VP;169;1;1;0;2025-08-18 00:00:00;0;2025-10-20;Preñada;MN;169;2026-07-30;0
37468478;191;012846679;1-08-017;54.1;4.5;04a 06m 02d;VP;161;1;1;0;2025-08-26 00:00:00;0;-   -;Vacía;;161;-   -;0
37468478;192;013082652;00390665;109;9.1;09a 01m 03d;VP;74;6;6;0;2025-11-21 00:00:00;0;-   -;Vacía;;74;-   -;1900-12-17
37468478;193;013082662;00430227;82.7;6.9;06a 10m 16d;VP;190;3;3;0;2025-07-28 00:00:00;0;2025-10-30;Preñada;MN;190;2026-08-02;1901-05-02
37468478;194;013082664;00390624;109;9.1;09a 01m 08d;VP;462;4;4;0;2024-10-29 00:00:00;0;2025-08-30;Preñada;IATF;462;2026-05-30;1900-12-28
37468478;195;013082666;00390734;100;8.4;08a 04m 05d;VP;481;4;4;0;2024-10-10 00:00:00;241;2025-06-07;Preñada;MN;240;2026-03-22;1901-02-19
37468478;196;013082668;00430137;77.4;6.5;06a 05m 10d;VP;558;2;2;0;2024-07-25 00:00:00;275;2025-06-04;Preñada;MN;283;2026-03-16;1902-06-26
37468478;197;013082669;00390632;109;9.1;09a 01m 03d;VP;190;6;6;0;2025-07-28 00:00:00;0;-   -;Vacía;;190;-   -;1901-12-02
37468478;198;013082670;00388933;91.8;7.6;07a 07m 20d;VP;130;3;3;0;2025-09-26 00:00:00;0;-   -;Vacía;;130;-   -;1901-08-12
37468478;199;013082671;00430224;83.2;6.9;06a 11m 02d;VS;0;2;2;0;2024-05-18 00:00:00;0;2025-08-26;Preñada;MN;626;2026-05-30;1901-12-04
37468478;200;013082679;7-12-025;97.9;8.2;08a 01m 25d;VP;87;5;5;0;2025-11-08 00:00:00;0;-   -;Vacía;;87;-   -;1901-03-13
37468478;201;013083684;00208922;81.7;6.8;06a 09m 17d;VP;83;3;3;0;2025-11-12 00:00:00;0;-   -;Vacía;;83;-   -;1901-08-09
37468478;202;013083685;00390623;109;9.1;09a 01m 15d;VP;92;6;6;0;2025-11-03 00:00:00;0;-   -;Vacía;;92;-   -;1901-07-03
37468478;203;013083691;LA GRING;128;10.7;10a 08m 03d;VP;440;4;4;0;2024-11-20 00:00:00;0;2025-07-30;Preñada;MN;440;2026-04-30;1901-09-07
37468478;204;013083700;LA  GUAT;177;14.7;14a 08m 24d;VP;439;7;7;0;2024-11-21 00:00:00;245;2025-06-03;Preñada;MN;194;2026-03-18;1901-03-04
37468478;205;013088484;00173888;69.8;5.8;05a 09m 22d;VP;299;1;1;0;2025-04-10 00:00:00;0;2025-11-15;Preñada;MN;299;2026-08-20;0
37468478;206;013882771;01121069;110;9.2;09a 02m 03d;VP;179;4;4;0;2025-08-08 00:00:00;0;-   -;Vacía;;179;-   -;1901-07-26
37468478;207;013882772;1-08-035;53.5;4.5;04a 05m 12d;VP;41;1;1;0;2025-12-24 00:00:00;0;-   -;Vacía;;41;-   -;0
37468478;208;013882774;00390619;110;9.2;09a 01m 28d;VP;594;4;4;1;2024-06-19 00:00:00;0;2025-06-30;Preñada;MN;594;2026-03-30;1901-03-13
37468478;209;013882775;00194525;121;10.1;10a 01m 16d;VP;29;4;4;1;2026-01-05 00:00:00;0;-   -;Vacía;;29;-   -;1901-07-13
37468478;210;013882777;00390635;91.6;7.6;07a 07m 14d;VP;216;3;3;0;2025-07-02 00:00:00;0;-   -;Vacía;;216;-   -;1901-05-08
37468478;211;013882778;00430144;77.4;6.5;06a 05m 10d;VP;181;3;3;0;2025-08-06 00:00:00;0;2025-10-30;Preñada;MN;181;2026-07-30;1901-05-13
37468478;212;013886697;00208929;51.5;4.3;04a 03m 12d;VP;239;1;1;0;2025-06-09 00:00:00;0;2026-10-30;Vacía;MN;239;2026-07-28;0
37468478;213;013886720;00442568;97.2;8.1;08a 01m 05d;VP;465;3;3;0;2024-10-26 00:00:00;241;2025-06-07;Preñada;MN;224;2026-03-22;1901-05-09
37468478;214;013886721;00390622;60.7;5.1;05a 00m 19d;NV;0;0;0;0;  -   -;349;2025-06-19;Preñada;MN;711;2025-04-04;0
37468478;215;013886722;00069574;91.7;7.6;07a 07m 18d;VP;469;3;3;0;2024-10-22 00:00:00;0;2025-09-25;Preñada;MN;469;2026-05-30;1901-06-03
37468478;216;013886723;00339062;111;9.3;09a 03m 12d;VP;41;4;4;0;2025-12-24 00:00:00;0;-   -;Vacía;;41;-   -;1901-06-21
37468478;217;013886724;00209110;71.6;6;05a 11m 15d;VP;910;1;1;0;2023-08-08 00:00:00;0;2025-07-30;Preñada;MN;910;2026-05-07;0
37468478;218;013886725;00388936;72.7;6.1;06a 00m 18d;VP;103;2;2;0;2025-10-23 00:00:00;0;-   -;Vacía;;103;-   -;1901-07-13
37468478;219;013886728;7-10-017;61.8;5.2;05a 01m 23d;VP;476;1;1;0;2024-10-15 00:00:00;0;2025-08-30;Preñada;IATF;476;2026-05-30;0
37468478;220;013886739;00430209;89.1;7.4;07a 04m 29d;VP;87;3;3;0;2025-11-08 00:00:00;0;-   -;Vacía;;87;-   -;1901-07-17
37468478;221;013886742;00194459;53.7;4.5;04a 05m 18d;VP;435;1;1;0;2024-11-25 00:00:00;0;-   -;Vacía;;435;-   -;0
37468478;222;013886744;LA LAGAR;32.5;2.7;02a 08m 13d;NV;0;0;0;0;  -   -;0;2025-10-25;Preñada;MN;55;2026-07-30;0
37468478;223;013886746;20-05-01;69;5.8;05a 08m 28d;VS;0;1;1;0;2025-04-06 00:00:00;0;-   -;Vacía;;303;-   -;0
37468478;224;015770785;00339070;110;9.2;09a 02m 03d;VP;78;6;6;0;2025-11-17 00:00:00;0;-   -;Vacía;;78;-   -;1901-03-21
37468478;225;015770786;00394929;49.1;4.1;04a 01m 02d;VP;78;1;1;0;2025-11-17 00:00:00;0;-   -;Vacía;;78;-   -;0
37468478;226;015770788;7-12-022;62;5.2;05a 01m 29d;VP;153;1;1;0;2025-09-03 00:00:00;0;-   -;Vacía;;153;-   -;0
37468478;227;015770789;00194461;81.1;6.8;06a 08m 30d;VP;472;1;1;0;2024-10-19 00:00:00;0;2025-09-30;Preñada;MN;472;2026-06-28;0
37468478;228;015770790;00388937;97.5;8.1;08a 01m 12d;VP;185;4;4;1;2025-08-02 00:00:00;0;-   -;Vacía;;185;-   -;1901-06-01
37468478;229;015770791;20-07-00;67.2;5.6;05a 07m 02d;VP;435;1;1;0;2024-11-25 00:00:00;0;2025-08-26;Preñada;MN;435;2026-05-30;0
37468478;230;015770792;8-05-040;92.4;7.7;07a 08m 08d;VP;223;5;5;0;2025-06-25 00:00:00;0;2025-09-30;Preñada;MN;223;2026-06-30;1900-11-25
37468478;231;015770793;00390618;110;9.2;09a 01m 28d;VP;439;2;2;1;2024-11-21 00:00:00;0;2025-10-30;Preñada;MN;439;2026-08-05;1901-09-19
37468478;232;015770794;00388913;104;8.7;08a 07m 29d;VP;456;3;3;0;2024-11-04 00:00:00;0;2025-06-30;Preñada;MN;456;2026-04-30;1901-06-07
37468478;233;015770795;1-05-017;57;4.8;04a 08m 29d;VP;429;1;1;0;2024-12-01 00:00:00;0;2025-06-30;Preñada;MN;429;2026-03-30;0
37468478;234;015770796;00390662;50.6;4.2;04a 02m 17d;NV;0;0;0;0;  -   -;0;2025-11-30;Preñada;MN;419;2026-08-30;0
37468478;235;015770797;00069579;93.9;7.8;07a 09m 22d;VP;54;4;4;0;2025-12-11 00:00:00;0;-   -;Vacía;;54;-   -;1901-06-01
37468478;236;015770798;00390629;70.4;5.9;05a 10m 09d;VS;0;1;1;0;2024-07-08 00:00:00;241;2025-06-07;Preñada;MN;334;2026-03-22;0
37468478;237;015770799;7-12-029;97.9;8.2;08a 01m 25d;VP;43;3;3;0;2025-12-22 00:00:00;0;-   -;Vacía;;43;-   -;1901-05-28
37468478;238;015770800;;47.4;3.9;03a 11m 08d;NV;0;0;0;0;  -   -;0;2025-06-30;Preñada;MN;419;2026-03-30;0
37468478;239;015770801;00442568;97.2;8.1;08a 01m 05d;VP;190;4;4;1;2025-07-28 00:00:00;0;2025-11-15;Preñada;MN;190;2026-08-15;1900-12-22
37468478;240;015770802;00388831;109;9.1;09a 01m 02d;VP;167;5;5;0;2025-08-20 00:00:00;0;2025-09-30;Preñada;MN;167;2026-07-30;1901-01-20
37468478;241;015770803;20-10-03;63.5;5.3;05a 03m 14d;VP;390;1;1;0;2025-01-09 00:00:00;0;-   -;Vacía;;390;-   -;0
37468478;242;015770805;00388883;63.1;5.3;05a 03m 02d;VP;328;2;2;0;2025-03-12 00:00:00;0;-   -;Vacía;;328;-   -;1901-01-20
37468478;243;015770806;20-11-07;63.1;5.3;05a 03m 00d;VP;266;1;1;0;2025-05-13 00:00:00;0;2025-11-15;Vacía;MN;266;2026-08-20;0
37468478;244;015770807;00173887;51.2;4.3;04a 03m 05d;VP;181;1;1;0;2025-08-06 00:00:00;0;-   -;Vacía;;181;-   -;0
37468478;245;015770808;7-12-070;61.8;5.1;05a 01m 22d;VS;0;1;1;0;2024-06-09 00:00:00;241;2025-05-07;Preñada;MN;363;2026-03-01;0
37468478;246;015770809;00069456;90.6;7.6;07a 06m 15d;VS;0;3;3;0;2025-09-29 00:00:00;0;-   -;Vacía;;127;-   -;1901-06-28
37468478;247;015770810;00394929;78.2;6.5;06a 06m 02d;VP;65;4;4;0;2025-11-30 00:00:00;0;2025-08-30;Preñada;MN;65;2026-05-30;1900-12-23
37468478;248;015770811;00388885;48;4;03a 11m 26d;VP;144;1;1;0;2025-09-12 00:00:00;0;-   -;Vacía;;144;-   -;0
37468478;249;015770812;1-08-037;53.6;4.5;04a 05m 16d;VS;0;0;0;1;  -   -;0;-   -;Vacía;;353;-   -;0
37468478;250;015770813;00069457;78.9;6.6;06a 06m 25d;VP;35;4;4;0;2025-12-30 00:00:00;0;-   -;Vacía;;35;-   -;1901-07-13
37468478;250;;;74.62600000000002;6.227199999999996;;;161.56;2.184;2.184;0.072;;25.904;;;;274.708;;1900-09-21
